                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1893,                 3.2656,                 1.9834,                0.45827,                0.37492,                 0.3771,                0.15548,                  2.048,                 2.3485,                 1.9774,             0.00020754,             0.00020754,             0.00020754
                      2,                 1.9687,                 2.0908,                 1.7951,                0.54441,                0.53284,                0.50936,                0.21545,                 2.0065,                 2.0597,                 1.9213,             0.00040558,             0.00040558,             0.00040558
                      3,                 1.8947,                 1.8547,                 1.7043,                0.63261,                 0.5585,                0.57731,                 0.2593,                 1.9493,                 1.8661,                 1.8557,             0.00059331,             0.00059331,             0.00059331
                      4,                 1.8269,                 1.7468,                 1.6632,                0.63676,                 0.5708,                0.60057,                0.27759,                 1.9152,                  1.791,                 1.8284,             0.00057859,             0.00057859,             0.00057859
                      5,                 1.7695,                 1.6338,                 1.6166,                 0.6676,                0.58923,                0.61085,                0.28274,                 1.9134,                 1.7756,                 1.8373,             0.00057859,             0.00057859,             0.00057859
                      6,                    1.7,                 1.5316,                 1.5757,                0.66723,                0.58347,                0.61202,                0.27866,                 1.9208,                 1.6888,                 1.8188,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.6549,                 1.4427,                 1.5307,                0.73903,                0.60136,                0.63868,                0.28333,                 1.9273,                 1.6072,                 1.7966,             0.00054766,             0.00054766,             0.00054766
                      8,                 1.5876,                  1.352,                 1.4826,                0.74273,                0.60328,                0.65355,                0.30742,                 1.8953,                 1.5693,                 1.8119,             0.00053219,             0.00053219,             0.00053219
                      9,                 1.5541,                   1.31,                 1.4669,                 0.7291,                 0.5891,                0.64256,                 0.3022,                 1.9063,                 1.5554,                 1.8104,             0.00051672,             0.00051672,             0.00051672
                     10,                 1.5152,                 1.2267,                 1.4313,                0.75788,                0.61017,                0.65713,                0.31825,                  1.876,                 1.4971,                  1.793,             0.00050125,             0.00050125,             0.00050125
